iter	MultiClass
0	1.092792304
1	1.087171151
2	1.081592621
3	1.076161192
4	1.070824957
5	1.065593618
6	1.060594981
7	1.055659937
8	1.050802626
9	1.046083702
10	1.041483305
11	1.036940624
12	1.0324017
13	1.028115742
14	1.023910188
15	1.019761408
16	1.015731191
17	1.011702436
18	1.007823804
19	1.004021596
20	1.000357455
21	0.9966816227
22	0.993129054
23	0.9895633871
24	0.9861652543
25	0.982771833
26	0.9795694994
27	0.9764067018
28	0.9733070745
29	0.9701976752
30	0.9672305902
31	0.9642301497
32	0.9613810015
33	0.9585736692
34	0.9556696416
35	0.9529949761
36	0.9504142719
37	0.9476869375
38	0.9451424847
39	0.9425440003
40	0.940129906
41	0.937769713
42	0.9354232516
43	0.9330198687
44	0.9308313913
45	0.9284175314
46	0.9262099686
47	0.9240482193
48	0.9219827863
49	0.9199592847
50	0.9178857732
51	0.9157474487
52	0.9138713242
53	0.9119429502
54	0.9101053843
55	0.9082161652
56	0.9064216123
57	0.9037455251
58	0.9009083735
59	0.8981708089
60	0.8955342236
61	0.8928397622
62	0.8901770224
63	0.8876097328
64	0.8852389582
65	0.8826799531
66	0.8800665384
67	0.8778791907
68	0.8756798711
69	0.8734976952
70	0.8712297844
71	0.8691522494
72	0.8669605768
73	0.8651352463
74	0.8630046417
75	0.8609259656
76	0.859011004
77	0.8568798215
78	0.8551632423
79	0.8531473596
80	0.8511343306
81	0.84908698
82	0.8472264443
83	0.845613524
84	0.8437788847
85	0.8422156934
86	0.840537419
87	0.8388083609
88	0.8370968374
89	0.8354704954
90	0.8340542487
91	0.8324110901
92	0.8310115399
93	0.8295821449
94	0.8280118289
95	0.8265974596
96	0.8253030991
97	0.8240440516
98	0.8226246057
99	0.821189067
100	0.8198830352
101	0.8186823109
102	0.8173448766
103	0.8161255242
104	0.8146661519
105	0.8134616709
106	0.812113743
107	0.8108560219
108	0.8096027463
109	0.8083898335
110	0.8071643955
111	0.8061657032
112	0.8047985857
113	0.8036288779
114	0.802507843
115	0.8011204068
116	0.8001909363
117	0.7991519192
118	0.7980631136
119	0.7969220824
120	0.7959561801
121	0.7948981649
122	0.793958534
123	0.7929393777
124	0.791909982
125	0.7910522733
126	0.7899804616
127	0.789179564
128	0.7880836601
129	0.7871079203
130	0.7864558615
131	0.7857229354
132	0.7849103789
133	0.7839514941
134	0.7832731902
135	0.7824941931
136	0.7816086136
137	0.7806358661
138	0.780003063
139	0.7789978824
140	0.7781256598
141	0.7772823615
142	0.7764755522
143	0.775683458
144	0.7749251335
145	0.7740004486
146	0.7732655496
147	0.7725115782
148	0.7720670693
149	0.7712579228
150	0.7707896694
151	0.7699842598
152	0.7692910697
153	0.7686816773
154	0.7681370711
155	0.7673697956
156	0.7664629701
157	0.7656762984
158	0.7651173965
159	0.7643016484
160	0.7633792002
161	0.7625811572
162	0.7616946134
163	0.7607691893
164	0.7599031234
165	0.7591979994
166	0.7585103841
167	0.757784932
168	0.7569326771
169	0.7561371078
170	0.755356648
171	0.7545479234
172	0.7537796523
173	0.7531777716
174	0.7524840333
175	0.7517315596
176	0.7509187053
177	0.7502461689
178	0.7496138922
179	0.7489169837
180	0.7482754794
181	0.7476775703
182	0.7470236467
183	0.746406638
184	0.7457828161
185	0.7453944438
186	0.7448433586
187	0.7443256042
188	0.7438200422
189	0.7430942085
190	0.7424887902
191	0.7419815298
192	0.7414372781
193	0.7409185885
194	0.7402954577
195	0.7399029983
196	0.7393110753
197	0.7391553253
198	0.7386630482
