iter	Passed	Remaining
0	111	1111771
1	225	1128372
2	330	1101469
3	407	1017558
4	466	933450
5	586	976132
6	645	921894
7	773	965885
8	825	916505
9	864	863409
10	921	837221
11	972	809718
12	1115	857310
13	1198	854738
14	1305	868879
15	1418	885026
16	1538	903688
17	1643	911623
18	1693	889747
19	1829	912709
20	1937	920870
21	2071	939741
22	2153	934353
23	2278	947039
24	2342	934515
25	2479	951292
26	2594	958193
27	2715	967030
28	2839	976363
29	2952	981214
30	3035	976228
31	3125	973558
32	3219	972512
33	3331	976639
34	3447	981474
35	3532	977635
36	3607	971429
37	3680	964898
38	3770	963014
39	3861	961430
40	3968	963980
41	4063	963383
42	4183	968707
43	4239	959387
44	4345	961320
45	4462	965699
46	4576	969174
47	4681	970681
48	4773	969500
49	4860	967318
50	4973	970160
51	5027	961731
52	5124	961752
53	5212	959992
54	5317	961439
55	5413	961344
56	5510	961248
57	5609	961592
58	5703	961032
59	5801	961061
60	5875	957267
61	6007	962975
62	6108	963512
63	6207	963753
64	6307	964135
65	6408	964631
66	6531	968389
67	6646	970776
68	6747	971169
69	6871	974761
70	6989	977480
71	7089	977509
72	7209	980442
73	7322	982266
74	7415	981372
75	7508	980445
76	7553	973402
77	7630	970689
78	7691	965880
79	7763	962661
80	7867	963401
81	7972	964264
82	8072	964504
83	8165	963974
84	8257	963198
85	8350	962655
86	8440	961691
87	8543	962317
88	8640	962171
89	8742	962670
90	8842	962816
91	8950	963919
92	9054	964529
93	9160	965361
94	9257	965254
95	9375	967189
96	9483	968150
97	9601	970119
98	9685	968673
99	9773	967597
100	9851	965568
101	9986	969090
102	10082	968819
103	10196	970258
104	10331	973617
105	10454	975791
106	10522	972874
107	10558	967108
108	10672	968414
109	10810	971992
110	10934	974165
111	11083	978483
112	11216	981404
113	11341	983491
114	11466	985613
115	11613	989587
116	11754	992868
117	11903	996848
118	12047	1000332
119	12187	1003411
120	12330	1006697
121	12451	1008167
122	12573	1009683
123	12710	1012316
124	12831	1013668
125	12957	1015413
126	13085	1017273
127	13215	1019240
128	13362	1022453
129	13501	1025071
130	13618	1025932
131	13746	1027679
132	13855	1027938
133	13985	1029678
134	14133	1032763
135	14261	1034345
136	14405	1037113
137	14552	1039984
138	14675	1041130
139	14808	1042907
140	14947	1045186
141	15076	1046680
142	15204	1048034
143	15325	1048941
144	15474	1051749
145	15509	1046816
146	15658	1049565
147	15783	1050637
148	15917	1052367
149	16046	1053733
150	16173	1054929
151	16292	1055570
152	16422	1056949
153	16554	1058412
154	16698	1060635
155	16846	1063059
156	16992	1065348
157	17128	1066923
158	17262	1068450
159	17407	1070548
160	17561	1073191
161	17702	1075049
162	17821	1075509
163	17945	1076282
164	18090	1078293
165	18229	1079929
166	18349	1080444
167	18366	1074882
168	18480	1075041
169	18637	1077683
170	18790	1080080
171	18909	1080499
172	19048	1082006
173	19175	1082842
174	19308	1084006
175	19451	1085765
176	19591	1087290
177	19739	1089203
178	19863	1089812
179	19980	1090062
180	20128	1091948
181	20257	1092811
182	20403	1094544
183	20546	1096121
184	20680	1097193
185	20835	1099370
186	20963	1100067
187	21058	1099092
188	21199	1100484
189	21356	1102694
190	21473	1102804
191	21597	1103272
192	21720	1103716
193	21866	1105248
194	22012	1106813
195	22147	1107826
196	22304	1109890
197	22437	1110776
198	22474	1106914
199	22613	1108084
200	22757	1109479
201	22904	1110981
202	23038	1111878
203	23188	1113506
204	23333	1114881
205	23482	1116455
206	23639	1118379
207	23776	1119303
208	23934	1121274
209	24060	1121693
210	24193	1122405
211	24333	1123467
212	24464	1124111
213	24617	1125725
214	24757	1126738
215	24884	1127166
216	25028	1128346
217	25191	1130369
218	25325	1131086
219	25477	1132592
220	25614	1133413
221	25758	1134546
222	25901	1135607
223	26044	1136641
224	26174	1137126
225	26311	1137925
226	26451	1138824
227	26587	1139547
228	26731	1140567
229	26890	1142247
230	27040	1143551
231	27182	1144476
232	27318	1145138
233	27443	1145353
234	27577	1145940
235	27702	1146124
236	27849	1147222
237	27969	1147234
238	28110	1148074
239	28149	1144739
240	28314	1146570
241	28462	1147664
242	28603	1148484
243	28736	1148978
244	28885	1150099
245	29010	1150296
246	29136	1150487
247	29280	1151394
248	29405	1151526
249	29551	1152508
250	29690	1153210
251	29826	1153781
252	29990	1155417
253	30144	1156638
254	30282	1157275
255	30426	1158111
256	30574	1159096
257	30692	1158935
258	30790	1158028
259	30908	1157886
260	31015	1157312
261	31123	1156784
262	31238	1156549
263	31395	1157831
264	31544	1158829
265	31691	1159730
266	31856	1161282
267	32012	1162467
268	32157	1163285
269	32277	1163196
270	32462	1165418
271	32597	1165849
272	32707	1165382
273	32865	1166606
274	33005	1167207
275	33248	1171419
276	33559	1177959
277	33777	1181243
278	33993	1184405
279	34207	1187477
280	34367	1188668
281	34587	1191929
282	34743	1192954
283	34901	1194015
284	35052	1194850
285	35213	1196015
286	35451	1199802
287	35652	1202281
288	35835	1204141
289	35970	1204383
290	36092	1204200
291	36226	1204397
292	36345	1204128
293	36438	1202969
294	36547	1202337
295	36668	1202137
296	36791	1201969
297	36896	1201254
298	37000	1200470
299	37102	1199634
300	37209	1198995
301	37308	1198056
302	37412	1197332
303	37511	1196418
304	37616	1195727
305	37729	1195257
306	37840	1194761
307	37930	1193590
308	38018	1192351
309	38106	1191133
310	38195	1189969
311	38285	1188808
312	38380	1187818
313	38469	1186685
314	38562	1185640
315	38649	1184448
316	38731	1183079
317	38821	1181971
318	38912	1180902
319	39007	1179967
320	39085	1178526
321	39177	1177514
322	39262	1176299
323	39340	1174866
324	39437	1174016
325	39539	1173325
326	39562	1170295
327	39648	1169142
328	39670	1166127
329	39760	1165099
330	39854	1164210
331	39932	1162849
332	40024	1161921
333	40135	1161534
334	40232	1160745
335	40261	1158005
336	40373	1157658
337	40465	1156748
338	40563	1155986
339	40658	1155174
340	40761	1154581
341	40870	1154186
342	40985	1153934
343	41095	1153543
344	41194	1152842
345	41294	1152197
